lon,lat,pop_density
28.50291655560835,47.095416664952985,67.54
28.51124988890835,47.095416664952985,60.35
28.51958322220835,47.095416664952985,42.69
28.527916555508348,47.095416664952985,36.53
28.53624988880835,47.095416664952985,32.73
28.54458322210835,47.095416664952985,32.29
28.55291655540835,47.095416664952985,34.6
28.56124988870835,47.095416664952985,35.88
28.56958322200835,47.095416664952985,42.92
28.57791655530835,47.095416664952985,42.76
28.58624988860835,47.095416664952985,43.27
28.59458322190835,47.095416664952985,36.07
28.60291655520835,47.095416664952985,34.89
28.61124988850835,47.095416664952985,34.04
28.619583221808348,47.095416664952985,47.36
28.62791655510835,47.095416664952985,46.85
28.63624988840835,47.095416664952985,69.94
28.64458322170835,47.095416664952985,149.69
28.65291655500835,47.095416664952985,175.32
28.66124988830835,47.095416664952985,694.66
28.66958322160835,47.095416664952985,1395.65
28.677916554908354,47.095416664952985,1411.6
28.68624988820835,47.095416664952985,1434.91
28.69458322150835,47.095416664952985,1232.54
28.70291655480835,47.095416664952985,1112.29
28.711249888108348,47.095416664952985,346.05
28.72791655470835,47.095416664952985,467.6
28.73624988800835,47.095416664952985,1378.6
28.744583221308346,47.095416664952985,939.59
28.752916554608348,47.095416664952985,1174.16
28.76124988790835,47.095416664952985,1309.7
28.769583221208354,47.095416664952985,1102.92
28.77791655450835,47.095416664952985,876.1
28.78624988780835,47.095416664952985,329.4
28.79458322110835,47.095416664952985,169.94
28.80291655440835,47.095416664952985,499.22
28.81124988770835,47.095416664952985,1503.42
28.81958322100835,47.095416664952985,1883.28
28.82791655430835,47.095416664952985,1924.0
28.83624988760835,47.095416664952985,1854.3
28.844583220908348,47.095416664952985,1142.44
28.85291655420835,47.095416664952985,778.53
28.86124988750835,47.095416664952985,1602.93
28.86958322080835,47.095416664952985,1590.54
28.87791655410835,47.095416664952985,1317.99
28.88624988740835,47.095416664952985,649.29
28.89458322070835,47.095416664952985,583.13
28.90291655400835,47.095416664952985,561.61
28.91124988730835,47.095416664952985,347.26
28.91958322060835,47.095416664952985,432.03
28.92791655390835,47.095416664952985,532.93
28.936249887208348,47.095416664952985,298.89
28.94458322050835,47.095416664952985,181.25
28.95291655380835,47.095416664952985,181.67
28.961249887108348,47.095416664952985,189.47
28.96958322040835,47.095416664952985,316.51
28.97791655370835,47.095416664952985,441.51
28.98624988700835,47.095416664952985,471.28
28.994583220308346,47.095416664952985,275.77
28.50291655560835,47.08708333165298,61.84
28.51124988890835,47.08708333165298,50.6
28.51958322220835,47.08708333165298,37.08
28.527916555508348,47.08708333165298,34.95
28.53624988880835,47.08708333165298,33.53
28.54458322210835,47.08708333165298,31.31
28.55291655540835,47.08708333165298,31.56
28.56124988870835,47.08708333165298,35.07
28.56958322200835,47.08708333165298,40.46
28.57791655530835,47.08708333165298,74.27
28.58624988860835,47.08708333165298,112.63
28.59458322190835,47.08708333165298,82.02
28.60291655520835,47.08708333165298,58.4
28.61124988850835,47.08708333165298,41.43
28.619583221808348,47.08708333165298,40.29
28.62791655510835,47.08708333165298,39.11
28.63624988840835,47.08708333165298,59.65
28.64458322170835,47.08708333165298,124.26
28.65291655500835,47.08708333165298,125.82
28.66124988830835,47.08708333165298,538.51
28.66958322160835,47.08708333165298,933.68
28.677916554908354,47.08708333165298,1065.08
28.68624988820835,47.08708333165298,1274.66
28.69458322150835,47.08708333165298,1238.94
28.70291655480835,47.08708333165298,1221.21
28.711249888108348,47.08708333165298,930.52
28.71958322140835,47.08708333165298,145.3
28.72791655470835,47.08708333165298,39.78
28.73624988800835,47.08708333165298,1083.68
28.744583221308346,47.08708333165298,1363.26
28.752916554608348,47.08708333165298,1273.89
28.76124988790835,47.08708333165298,1475.1
28.769583221208354,47.08708333165298,1499.71
28.77791655450835,47.08708333165298,1167.06
28.78624988780835,47.08708333165298,415.54
28.79458322110835,47.08708333165298,171.06
28.80291655440835,47.08708333165298,215.34
28.81124988770835,47.08708333165298,380.18
28.81958322100835,47.08708333165298,1040.53
28.82791655430835,47.08708333165298,1338.1
28.83624988760835,47.08708333165298,1670.39
28.844583220908348,47.08708333165298,761.75
28.85291655420835,47.08708333165298,695.73
28.86124988750835,47.08708333165298,1388.67
28.86958322080835,47.08708333165298,1465.99
28.87791655410835,47.08708333165298,1270.08
28.88624988740835,47.08708333165298,707.66
28.89458322070835,47.08708333165298,437.32
28.90291655400835,47.08708333165298,316.9
28.91124988730835,47.08708333165298,382.88
28.91958322060835,47.08708333165298,399.93
28.92791655390835,47.08708333165298,545.6
28.936249887208348,47.08708333165298,589.8
28.94458322050835,47.08708333165298,459.27
28.95291655380835,47.08708333165298,302.2
28.961249887108348,47.08708333165298,729.15
28.96958322040835,47.08708333165298,963.67
28.97791655370835,47.08708333165298,765.33
28.98624988700835,47.08708333165298,360.15
28.994583220308346,47.08708333165298,167.98
28.50291655560835,47.078749998352976,45.56
28.51124988890835,47.078749998352976,45.56
28.51958322220835,47.078749998352976,44.18
28.527916555508348,47.078749998352976,38.32
28.53624988880835,47.078749998352976,34.22
28.54458322210835,47.078749998352976,31.78
28.55291655540835,47.078749998352976,31.73
28.56124988870835,47.078749998352976,34.45
28.56958322200835,47.078749998352976,40.79
28.57791655530835,47.078749998352976,88.57
28.58624988860835,47.078749998352976,143.42
28.59458322190835,47.078749998352976,183.23
28.60291655520835,47.078749998352976,184.28
28.61124988850835,47.078749998352976,143.7
28.619583221808348,47.078749998352976,69.12
28.62791655510835,47.078749998352976,44.0
28.63624988840835,47.078749998352976,44.11
28.64458322170835,47.078749998352976,67.32
